"Дата","Заражений всего","Умерло всего","Летальность","Выздоровело всего","Болеющих"
"18/03/25","3885719","50067","0.00%","3699346","136306"
"11/03/25","3884994","50063","0.00%","3698530","136401"
"04/03/25","3884130","50058","0.00%","3697645","136427"
"25/02/25","3883227","50056","0.00%","3696688","136483"
"18/02/25","3882231","50055","0.00%","3695668","136508"
"11/02/25","3881292","50054","0.00%","3694731","136507"
"04/02/25","3880256","50050","0.00%","3693521","136685"
"28/01/25","3879044","50048","—","3692281","136715"
"21/01/25","3877803","50048","0.01%","3690880","136875"
"14/01/25","3876523","50041","0.01%","3689321","137161"
"07/01/25","3875029","50027","0.01%","3688097","136905"
"31/12/24","3873667","50010","0.01%","3685335","138322"
"24/12/24","3870673","49994","0.01%","3681239","139440"
"17/12/24","3866715","49978","0.01%","3676396","140341"
"10/12/24","3861785","49965","0.00%","3671203","140617"
"03/12/24","3856577","49958","0.01%","3666226","140393"
"24/11/24","3851768","49947","0.01%","3661333","140488"
"19/11/24","3846809","49936","0.01%","3657028","139845"
"12/11/24","3842493","49924","0.00%","3653327","139242"
"05/11/24","3838688","49919","0.01%","3649118","139651"
"29/10/24","3834600","49905","0.01%","3644793","139902"
"22/10/24","3830351","49892","0.01%","3641023","139436"
"15/10/24","3826563","49880","0.01%","3636965","139718"
"08/10/24","3822432","49868","0.01%","3631906","140658"
"01/10/24","3817353","49860","0.01%","3625954","141539"
"24/09/24","3811361","49849","0.00%","3619255","142257"
"17/09/24","3804625","49843","0.01%","3612080","142702"
"10/09/24","3797429","49835","0.01%","3606343","141251"
"03/09/24","3791660","49827","0.00%","3601286","140547"
"27/08/24","3786610","49820","0.00%","3596498","140292"
"20/08/24","3781782","49818","0.00%","3592630","139334"
"13/08/24","3777842","49816","0.00%","3589245","138781"
"06/08/24","3774615","49812","—","3586711","138092"
"30/07/24","3772091","49812","0.00%","3584827","137452"
"23/07/24","3770288","49806","0.01%","3583420","137062"
"16/07/24","3768782","49799","0.01%","3581975","137008"
"09/07/24","3767357","49792","0.00%","3580534","137031"
"02/07/24","3765823","49786","0.00%","3579092","136945"
"25/06/24","3764429","49784","0.00%","3577816","136829"
"18/06/24","3763130","49778","0.01%","3576538","136814"
"11/06/24","3761836","49769","0.01%","3574819","137248"
"04/06/24","3760025","49760","0.00%","3572692","137573"
"28/05/24","3757803","49759","0.01%","3570484","137560"
"21/05/24","3755579","49750","0.00%","3568552","137277"
"14/05/24","3753664","49744","0.00%","3567275","136645"
"07/05/24","3752421","49743","0.00%","3565814","136864"
"30/04/24","3750980","49741","0.00%","3563781","137458"
"23/04/24","3748856","49735","0.01%","3561577","137544"
"16/04/24","3746678","49728","0.01%","3559154","137796"
"09/04/24","3744217","49718","0.01%","3556146","138353"
"02/04/24","3741145","49708","0.01%","3552585","138852"
"24/03/24","3737546","49697","0.01%","3548365","139484"
"19/03/24","3733365","49684","0.01%","3543688","139993"
"12/03/24","3728374","49671","0.01%","3538699","140004"
"05/03/24","3723688","49660","0.01%","3532463","141565"
"27/02/24","3717402","49644","0.01%","3525754","142004"
"20/02/24","3710652","49631","0.02%","3517772","143249"
"13/02/24","3702490","49604","0.01%","3509670","143216"
"06/02/24","3694178","49586","0.01%","3501658","142934"
"30/01/24","3686359","49570","0.01%","3495188","141601"
"23/01/24","3679854","49552","0.02%","3490054","140248"
"16/01/24","3674788","49529","0.02%","3485834","139425"
